アトランド,Atland,
アトランド入口,Atland entrance,
教会,Church,
ゴールド洞窟,Gold cave,
ゴールド洞窟,Gold cave,
ゴールド洞窟,Gold cave,
ＳＡＭＳＯＮ,Samson,
エルフの草原,Elven meadow,
ヴォロウ,Voloh,
マークの敷地,Mark's domain,
フィリップス城,Philips Castle,
フィリップス城,Philips Castle,
フィリップス城,Philips Castle,
ＮＡＴＥＬＡ,Natela,
ドワーフの砂漠,Dwarven desert,
セネガル,Senegul,
ドワーフの洞窟,Dwarf cave,
ドワーフの洞窟,Dwarf cave,
ドワーフの洞窟,Dwarf cave,
光る石の部屋,Glowing stone room,
ＥＡＲＤＯＮ,Eardon,
ホビットの谷,Hobbit vale,
ポパー,Popeh,
民家,House,
教会,Church,
教会地下,Church basement,
ジークの敷地,Sieg's domain,
ジークフリード城,Siegfrid Castle,
ジークフリード城,Siegfrid Castle,
ジークフリード城,Siegfrid Castle,
ＤＵＭＡ,Duma,
ノームの樹,Gnome thicket,
リラティ,Lilaty,
ノームの平原,Gnome plain,
ニンフの洞窟,Nymph cave,
ＴＨＩＭＡＬＥ,Thimale,
ニンフの泉,Nymph spring,
幻峡の丘,Dreamvale Heights,
天空の雲,Ascent to the sky,
ラグーン城,Lagoon Castle,
ラグーン城,Lagoon Castle,
ラグーン城,Lagoon Castle,
ラグーン城,Lagoon Castle,
ラグーン城,Lagoon Castle,
ラグーン城,Lagoon Castle,
ＴＨＯＲ,Thor,
ラグーン城,Lagoon Castle,
ラグーン城,Lagoon Castle,
Ｕ・Ｔ,U-T,
ＢＡＴＴＬＥＲ,Battler,
武器屋,Weapons,
居酒屋,Tavern,
雑貨屋,General store,
祈祷所,Priory,
ナセルの家,Nassel's house,
村長の家,Mayor's house,
ダグの家,Dag's house,
ニンフの泉,Nymph spring,
ライ麦パン,Rye bread,
村長の手紙,Mayor's letter,
転移のマント,Cloak of Mobility,
牢屋の鍵,Prison key,
ソアの手紙,Thor's letter,
ムーンストーン,Moonstone,
蜂蜜,Honey,
冷気の壷,Chillwind Vase,
羽衣の鐘,Angel Bell,
毛皮のマント,Fur cloak,
グリップ,Grip,
月光の珠,Moonlight Pearl,
守りの指輪,Ring of Defense,*** NEEDS REVISITING ***
力の指輪,Ring of Power,
防護の指輪,Ring of Protection,*** NEEDS REVISITING ***
治癒の指輪,Ring of Recovery,
時の指輪,Ring of Time,
ねこ,Cat,
紅炎の水晶,Inferno Crystal,
衝波の水晶,Upheaval Crystal,
流破の水晶,Deluge Crystal,
雷光の水晶,Thunderbolt Crystal,
紅炎の杖,Inferno Staff,
衝波の杖,Upheaval Staff,
流破の杖,Deluge Staff,
雷光の杖,Thunderbolt Staff,
破邪の剣,Exorcist Blade,
アイテム予備０,,
アイテム予備１,,
アイテム予備２,,
アイテム予備３,,
アイテム予備４,,
アイテム予備５,,
アイテム予備６,,
アイテム予備７,,
アイテム予備８,,
ＧＯＬＤ, gold,
ショートソード,Short sword,
シルバーソード,Silver sword,
マジックソード,Magic sword,
フォースソード,Force sword,
ムーンブレイド,Moonblade,
プレートメイル,Plate mail,
ソニックアーマー,Sonic armor,
ゴールドアーマー,Gold armor,
サンダーアーマー,Thunder armor,
ムーンアーマー,Moon armor,
アイアンシールド,Iron shield,
ラージシールド,Large shield,
グレートシールド,Great shield,
マキシムシールド,Maxima shield,
ムーンシールド,Moon shield,
武防盾予備０,,
武防盾予備１,,
武防盾予備２,,
武防盾予備３,,
武防盾予備４,,
武防盾予備５,,
武防盾予備６,,
武防盾予備７,,
武防盾予備８,,
武防盾予備９,,
ポーション,Potion,
エリクサー,Elixir,
命の珠,Pearl of life,
光の石,Light stone,
輝きの石,Radiant stone,
売り物予備０,,
売り物予備１,,
売り物予備２,,
売り物予備３,,
売り物予備４,,
売り物予備５,,
売り物予備６,,
売り物予備７,,
売り物予備８,,
売り物予備９,,
,,
